time;G_gt;P_gt;t_gt;CDPs;VBVs;IGVs;VSVs;N_gtu;n_kvd;t_knd;t_tnd;G_fact;G_ogr;ST8s
01.01.2022 3:30;10810.68164;4.48498;38.07344;7;15.8;61;91.4;40;10046;-7.6;849.5;7159;8386;23.3
01.01.2022 3:40;10821.41211;4.48498;38.07344;7.1;16.4;60.3;91.7;40;10057;-7.7;847.79999;7162;8398;23.3
01.01.2022 3:50;10812.4707;4.48498;38.07344;7.1;16.4;60.9;91.7;40;10057;-7.2;849.5;7158;8394;23.5
01.01.2022 4:00;10831.54492;4.48498;38.07344;7;16.3;60.9;91.2;40;10047;-7.4;849.5;7183;8390;23.5
01.01.2022 4:10;10811.27832;4.48498;38.07344;7.1;16.3;59.8;91.5;40;10059;-8.1;847.79999;7163;8415;23.5
01.01.2022 4:20;11015.14063;4.48498;38.07344;7;14.4;66.1;89.6;41.1;10030;-7.6;847.79999;7281;8530;23.3
01.01.2022 4:30;11021.10156;4.48498;38.07344;7;14.5;65.2;89.9;41.1;10040;-8.2;847.79999;7279;8551;23.3
01.01.2022 4:40;11042.56055;4.48498;38.07344;7;14.7;65.3;90.4;41.1;10042;-7.9;849.40002;7291;8548;23.3
01.01.2022 4:50;11016.33301;4.48498;38.07344;7;14.8;65.2;90;41.1;10043;-7.9;847.70001;7279;8560;23.3
01.01.2022 5:00;10994.27734;4.48498;38.07344;7;14;65.5;90.1;41.1;10039;-7.8;847.79999;7292;8544;23.3
01.01.2022 5:10;11213.63867;4.48498;38.07344;7;11.8;70.3;88.2;42;10028;-8.3;847;7407;8723;23.3
01.01.2022 5:20;11215.42676;4.48498;38.07344;6.9;12.1;69.9;88.6;42;10027;-8.4;847.20001;7400;8714;23.3
01.01.2022 5:30;11206.48535;4.48498;38.07344;7;12.2;69.6;88.9;42;10038;-8.6;847.20001;7412;8707;23.3
01.01.2022 5:40;11223.17578;4.48498;38.07344;7;12.4;69.8;88.4;42;10018;-8.6;847.20001;7412;8721;23.3
01.01.2022 5:50;11224.36816;4.48498;38.07344;7;12.5;69.4;88.9;42;10025;-8.7;847.40002;7401;8711;23.3
01.01.2022 6:00;11535.52734;4.48498;38.07344;0;3.5;75.2;87.1;44.1;10028;-8.9;846.5;7642;8947;9.8
01.01.2022 6:10;11537.91113;4.48498;38.07344;0;2.7;75.1;87.9;44.1;10035;-9;847.09998;7660;8965;9.8
01.01.2022 6:20;11532.54688;4.48498;38.07344;0;3.3;75.1;87;44;10014;-8.9;845.40002;7676;8972;9.9
01.01.2022 6:30;11540.8916;4.48498;38.07344;0;3.6;75.7;87.2;44;10016;-8.8;845.29999;7652;8957;9.9
01.01.2022 6:40;11954.57813;4.48498;38.07344;0;2.3;78.4;89.5;45.8;10096;-9.2;856.70001;7945;9103;-0.4
01.01.2022 6:50;12087.50586;4.48498;38.07344;0;2.3;79.2;90;46.6;10121;-9.1;860.09998;8014;9149;-0.4
01.01.2022 7:00;12044.58789;4.48498;38.07344;0;2.2;79.7;90;46.6;10116;-8.5;860.70001;8005;9138;-0.4
01.01.2022 7:10;12052.93262;4.48498;38.07344;0;2.1;79.7;89.3;46.6;10108;-8.8;859;8014;9142;-0.4
01.01.2022 7:20;12056.50977;4.48498;38.07344;0;2.3;79.4;89.6;46.2;10119;-9.2;858.90002;8001;9157;-0.4
01.01.2022 7:30;12048.16406;4.48498;38.07344;0;2.1;79.5;89.9;46.6;10115;-9.1;861.20001;8016;9134;-0.4
01.01.2022 7:40;11928.94629;4.48498;38.07344;0;2.2;78.7;88.7;46.1;10063;-9;855.40002;7941;9140;-0.4
01.01.2022 7:50;12020.14844;4.48498;38.07344;0;2.2;79.5;89.4;46.4;10096;-8.9;860.20001;8015;9150;-0.4
01.01.2022 8:00;12043.39551;4.48498;38.07344;0;2.1;79.7;89.8;46.4;10109;-8.9;860.70001;8009;9149;-0.4
01.01.2022 8:10;11964.71191;4.48498;38.34048;-0.1;2.2;79.1;89.4;46.4;10092;-8.9;858.20001;7996;9131;-0.4
01.01.2022 8:20;12051.74121;4.48498;38.34048;0;2.1;79.1;90.1;46.4;10118;-9.2;862.09998;7999;9128;-0.4
01.01.2022 8:30;12046.37598;4.48498;38.0639;0;2.3;79.1;90.4;46.4;10118;-9.5;860.29999;8019;9150;-0.4
01.01.2022 8:40;12047.56836;4.48498;38.0639;0;2.3;79.3;90;46.4;10112;-9.2;859.90002;7994;9148;-0.4
01.01.2022 8:50;12041.60742;4.48498;38.0639;0;2.3;78.9;90.4;46.4;10117;-9.5;859.90002;8012;9143;-0.4
01.01.2022 9:00;12042.7998;4.48498;38.0639;0;2.4;78.7;90.6;46.4;10122;-9.6;859.5;8005;9156;-0.4
01.01.2022 9:10;12043.99121;4.48498;38.34048;0;2.4;78.7;90.1;46.4;10113;-9.6;859.5;8012;9146;-0.4
01.01.2022 9:20;12067.23926;4.48498;38.34048;0;2.4;78.6;90.5;46.4;10118;-9.7;859.5;8003;9130;-0.4
01.01.2022 9:30;12050.54883;4.48498;38.34048;-0.1;2.2;79.2;89.8;46.4;10109;-9.2;859.09998;8003;9134;-0.4
01.01.2022 9:40;12047.56836;4.48498;38.34048;-0.1;2.4;79.2;89.6;46.4;10096;-9.4;859.20001;8009;9163;-0.4
01.01.2022 9:50;12015.37891;4.48498;38.0639;0;2.3;78.8;89.8;46.4;10103;-9.5;859.09998;7997;9147;-0.4
01.01.2022 10:00;12048.76074;4.48498;38.0639;-0.1;2.2;79.2;89.6;46.4;10115;-9.2;859.40002;7998;9146;-0.4
01.01.2022 10:10;12029.68555;4.48498;38.0639;0;2.2;79.2;90.1;46.4;10109;-8.9;861.20001;8023;9135;-0.4
01.01.2022 10:20;12043.99121;4.48498;38.0639;-0.1;2;79.9;90.2;46.4;10112;-8.4;860;8014;9124;-0.4
01.01.2022 10:30;12036.24219;4.48498;38.0639;-0.1;2;79.5;89.4;46.4;10110;-8.5;860.20001;8025;9133;-0.4
01.01.2022 10:40;12029.68555;4.48498;38.0639;-0.1;2;79.9;89.6;46.4;10114;-8.5;859.40002;8017;9144;-0.4
01.01.2022 10:50;12038.03027;4.48498;38.0639;-0.1;2;79.5;90;46.4;10121;-8.9;859.29999;7996;9139;-0.4
01.01.2022 11:00;12043.39551;4.48498;38.0639;-0.1;2.1;79.5;89.6;46.4;10110;-8.7;858.90002;8011;9150;-0.4
01.01.2022 11:10;12038.62695;4.48498;38.0639;-0.1;1.9;79.9;89.4;46.4;10104;-8.4;860.90002;8002;9134;-0.4
01.01.2022 11:20;12046.97168;4.48498;38.0639;-0.1;2;79.5;90.2;46.4;10128;-8.6;861.29999;8008;9133;-0.4
01.01.2022 11:30;12016.57129;4.48498;38.0639;-0.1;2.1;79.7;89.5;46.7;10108;-8.7;859.79999;8005;9142;-0.4
01.01.2022 11:40;12142.94238;4.48498;38.0639;0;2;80.2;91.4;47.1;10157;-8.8;864.59998;8061;9145;-0.4
01.01.2022 11:50;12047.56836;4.48498;38.33095;0;2.1;79.8;89.2;46.7;10107;-8.7;860.79999;8049;9145;-0.4
01.01.2022 12:00;12042.20313;4.48498;38.04483;0;2.1;79.4;90;46.7;10118;-8.7;860.09998;8005;9142;-0.4
01.01.2022 12:10;12042.20313;4.48498;38.04483;-0.1;2;79.5;89.7;46.5;10113;-8.7;860.29999;8017;9144;-0.4
01.01.2022 12:20;12062.4707;4.48498;38.04483;-0.1;2;79.5;90;46.5;10138;-8.5;861.09998;8006;9113;-0.4
01.01.2022 12:30;12053.5293;4.48498;38.04483;-0.1;2;79.9;90;46.5;10117;-8.4;861.5;8024;9117;-0.4
01.01.2022 12:40;12049.95215;4.48498;38.04483;0;2;79.9;89.5;46.5;10103;-8.3;859.40002;8005;9144;-0.4
01.01.2022 12:50;12052.93262;4.48498;38.04483;-0.1;2;79.6;90.2;46.5;10120;-8.6;860.90002;8026;9111;-0.4
01.01.2022 13:00;12054.72168;4.48498;38.31187;-0.1;2.1;79.6;90.1;46.5;10130;-8.8;861.20001;8003;9133;-0.4
01.01.2022 13:10;12063.66211;4.48498;38.31187;0;1.9;79.9;90.5;46.5;10127;-8.4;861.29999;8008;9127;-0.4
01.01.2022 13:20;11934.31152;4.48498;38.03529;-0.1;2;79;89;46.1;10093;-8.6;857.59998;7945;9118;-0.4
01.01.2022 13:30;11936.09961;4.48498;38.30234;-0.1;1.9;79.2;88.6;46.1;10083;-8;856.90002;7937;9110;-0.4
01.01.2022 13:40;11931.33105;4.48498;38.30234;0;1.8;79.3;88.9;46.1;10097;-8.2;855.90002;7940;9114;-0.4
01.01.2022 13:50;11751.90723;4.48498;38.30234;0;2.4;77.8;87.9;45.3;10047;-8.6;852;7813;9065;-0.4
01.01.2022 14:00;11682.16504;4.48498;38.02575;0;3.1;77.7;86.9;44.8;10030;-8;848.5;7755;9035;-0.4
01.01.2022 14:10;11537.31543;4.48498;38.2928;0;2.5;77.1;87.6;44.3;10019;-8;846.40002;7709;9007;-0.2
01.01.2022 14:20;11365.6416;4.48498;38.2928;4;4.6;75.6;86.6;42.9;10014;-7.3;844.29999;7522;8847;15.7
01.01.2022 14:30;11342.99023;4.48498;38.2928;2.5;4.1;75.7;87;43;10018;-7.5;846.09998;7552;8878;14
01.01.2022 14:50;10826.77637;4.48498;38.2928;7;15.9;63.1;90.4;40.1;10045;-6.4;846;7169;8410;23.4
01.01.2022 15:00;10795.18359;4.48498;38.2928;7.1;15.8;63;90.3;40.1;10046;-6.5;847.70001;7158;8396;23.4
01.01.2022 15:10;10715.9043;4.48498;38.2928;7;17;61.8;90.6;39.5;10048;-6.1;847.70001;7106;8334;23.4
01.01.2022 23:50;10823.2002;4.48498;38.2928;7.1;15.7;64.4;90.8;40;10066;-6.4;846.09998;7164;8385;23.4
02.01.2022 0:00;10914.99805;4.48498;38.2928;7.1;15;71.6;88.2;40.6;10048;-5;845.70001;7203;8492;23.5
02.01.2022 0:10;11032.42773;4.48498;38.2928;7.1;14.4;73.1;88.2;40.9;10050;-5.3;845.70001;7276;8562;23.5
02.01.2022 0:20;11013.94824;4.48498;38.2928;7.1;13.8;72.6;87.5;41;10037;-5.5;845.59998;7279;8578;23.5
02.01.2022 0:30;11110.51563;4.48498;38.2928;7.1;13.2;76.6;86.2;41.6;10031;-5.1;845.59998;7328;8650;23.5
02.01.2022 0:40;11242.84668;4.48498;38.2928;7.1;7.4;79.6;85.2;42.2;10031;-5;843.90002;7387;8726;23.4
02.01.2022 0:50;11189.19922;4.48498;38.2928;7;10.7;77.2;86.8;41.9;10052;-5.8;843.90002;7369;8726;23.4
02.01.2022 1:00;11360.87305;4.48498;38.2928;2.3;3.3;77.1;86.2;43;10043;-6.7;843.90002;7510;8834;13.7
02.01.2022 1:10;11432.40332;4.48498;38.2928;0;2.3;77.1;87;43.4;10057;-7.1;843.90002;7575;8889;9.9
02.01.2022 1:20;11525.39355;4.48498;38.2928;0;1.6;77.9;87.7;43.8;10076;-7.3;845.79999;7660;8933;9.9
