,name,link,min_money,max_money,value,site
0,Инженер-теплотехник,https://hh.ru/vacancy/49186939?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
1,Инженер теплотехник,https://hh.ru/vacancy/48469037?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,80000.0,,руб.,https://www.hh.ru/search/vacancy
2,Ведущий инженер-теплотехник,https://hh.ru/vacancy/44152240?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,90000.0,,руб.,https://www.hh.ru/search/vacancy
3,Инженер-теплотехник,https://hh.ru/vacancy/47890399?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,70000.0,75000.0,руб.,https://www.hh.ru/search/vacancy
4,Инженер-теполоэнергетик,https://hh.ru/vacancy/49162440?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,70000,руб.,https://www.hh.ru/search/vacancy
5,Ведущий инженер-теплоэнергетик,https://hh.ru/vacancy/47754868?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,70000.0,73000.0,руб.,https://www.hh.ru/search/vacancy
6,"Слесарь ( теплоэнергетика, теплоснабжение)",https://hh.ru/vacancy/41895382?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,60000.0,,руб.,https://www.hh.ru/search/vacancy
7,Дефектоскопист (теплоэнергетика),https://hh.ru/vacancy/47670868?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,75000.0,90000.0,руб.,https://www.hh.ru/search/vacancy
8,Инженер-теплоэнергетик (котельное топливо),https://hh.ru/vacancy/47755036?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,56000.0,56000.0,руб.,https://www.hh.ru/search/vacancy
9,Инженер-теплоэнергетик,https://hh.ru/vacancy/47466312?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,50000.0,50000.0,руб.,https://www.hh.ru/search/vacancy
10,Инженер-теплотехник,https://hh.ru/vacancy/49080152?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
11,Ведущий инженер (теплотехник/теплоэнергетик),https://hh.ru/vacancy/46480124?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,70000.0,85000.0,руб.,https://www.hh.ru/search/vacancy
12,Ведущий инженер (теплоэнергетика),https://hh.ru/vacancy/48833488?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
13,Главный специалист (теплоэнергетика),https://hh.ru/vacancy/48833238?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
14,Специалист теплоэнергетик,https://hh.ru/vacancy/48586582?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,110000.0,,руб.,https://www.hh.ru/search/vacancy
15,Инженер-теплоэнергетик,https://hh.ru/vacancy/47692497?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
